id,title,release_date,overview,Family,Animation,History,Documentary,Adventure,Western,Crime,Drama,Horror,Science Fiction,Romance,War,Mystery,Fantasy,Action,TV Movie,Thriller,Comedy,Music
299537,Captain Marvel,2019-03-06,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
166428,How to Train Your Dragon: The Hidden World,2019-01-03,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399579,Alita: Battle Angel,2019-01-31,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
450001,Master Z: Ip Man Legacy,2018-12-20,"After being defeated by Ip Man, Cheung Tin Chi is attempting to keep a low profile. While going about his business, he gets into a fight with a foreigner by the name of Davidson, who is a big boss behind the bar district. Tin Chi fights hard with Wing Chun and earns respect.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
338952,Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,"Gellert Grindelwald has escaped imprisonment and has begun gathering followers to his cause—elevating wizards above all non-magical beings. The only one capable of putting a stop to him is the wizard he once called his closest friend, Albus Dumbledore. However, Dumbledore will need to seek help from the wizard who had thwarted Grindelwald once before, his former student Newt Scamander, who agrees to help, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
324857,Spider-Man: Into the Spider-Verse,2018-12-07,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
400650,Mary Poppins Returns,2018-12-13,"In Depression-era London, a now-grown Jane and Michael Banks, along with Michael's three children, are visited by the enigmatic Mary Poppins following a personal loss. Through her unique magical skills, and with the aid of her friend Jack, she helps the family rediscover the joy and wonder missing in their lives.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
464504,A Madea Family Funeral,2019-03-01,"A joyous family reunion becomes a hilarious nightmare as Madea and the crew travel to backwoods Georgia, where they find themselves unexpectedly planning a funeral that might unveil unpleasant family secrets.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
297802,Aquaman,2018-12-07,"Once home to the most advanced civilization on Earth, the city of Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people -- and then the surface world. Standing in his way is Aquaman, Orm's half-human, half-Atlantean brother and true heir to the throne. With help from royal counselor Vulko, Aquaman must retrieve the legendary Trident of Atlan and embrace his destiny as protector of the deep.",0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
512196,Happy Death Day 2U,2019-02-13,"Collegian Tree Gelbman wakes up in horror to learn that she's stuck in a parallel universe. Her boyfriend Carter is now with someone else, and her friends and fellow students seem to be completely different versions of themselves. When Tree discovers that Carter's roommate has been altering time, she finds herself once again the target of a masked killer. When the psychopath starts to go after her inner circle, Tree soon realizes that she must die over and over again to save everyone.",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
